market,rank,ticker,company,meta_rcept_dt,meta_rcept_no,meta_report_nm,meta_plan_title,progress_rcept_dt,progress_rcept_no,progress_plan_title,plan_rcept_dt,plan_rcept_no,progress_similarity,plan_similarity,relation,meta_tags,progress_tags,plan_tags
KOSPI,90,090430,아모레퍼시픽,20260330,20260330801880,[기재정정]기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2025년 (주)아모레퍼시픽 기업가치제고계획 이행현황,20251106,20251106800638,2025년 (주)아모레퍼시픽 기업가치제고계획 이행현황,20241112,20241112800306,1.0,0.4356,meta_duplicates_progress,{'implementation_status': 2},{'implementation_status': 2},{}
KOSPI,90,090430,아모레퍼시픽,20260326,20260326801636,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2025년 (주)아모레퍼시픽 기업가치제고계획 이행현황,20251106,20251106800638,2025년 (주)아모레퍼시픽 기업가치제고계획 이행현황,20241112,20241112800306,1.0,0.4356,meta_duplicates_progress,{'implementation_status': 2},{'implementation_status': 2},{}
KOSPI,93,032640,LG유플러스,20260324,20260324801537,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2025년 LG유플러스 기업가치 제고 계획 (이행현황),20251128,20251128800082,2025년 LG유플러스 기업가치 제고 계획 (이행현황),20241122,20241122800028,1.0,0.6406,meta_duplicates_progress,{'future_plan': 2},{'future_plan': 2},{'future_plan': 2}
KOSPI,96,241560,두산밥캣,20260327,20260327802183,기업가치제고계획(자율공시)              (이행현황 및 고배당기업 표시),두산밥캣 기업가치 제고 계획 이행현황 보고,20250725,20250725800436,2025년 두산밥캣 기업가치 제고계획 이행현황 보고,20241216,20241216800362,0.9169,0.1152,meta_duplicates_progress,{'implementation_status': 1},{'implementation_status': 1},{}
KOSPI,103,052690,한전기술,20260401,20260401801513,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2025년 한국전력기술(주) 기업가치 제고 계획 이행현황,20251230,20251230801018,2025년 한국전력기술(주) 기업가치 제고 계획 이행현황,20241231,20241231800139,1.0,0.2833,meta_duplicates_progress,{'implementation_status': 1},{'implementation_status': 1},{}
KOSPI,107,271560,오리온,20260326,20260326802997,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2026년 ㈜오리온 기업가치 제고계획,,,,20250630,20250630800281,0.0,0.9526,meta_without_progress_compare_to_plan,{},{},{}
KOSPI,131,035250,강원랜드,20260331,20260331801744,기업가치제고계획(자율공시)              (이행현황 재공시 (고배당기업에 해당)),2025년 강원랜드 기업가치 제고 계획 이행현황 (고배당기업 해당),20251118,20251118800368,2025년 (주)강원랜드 기업가치 제고 계획 이행현황,20241010,20241010800358,0.128,0.1083,meta_reference_only,{'meta_reference': 1},"{'implementation_status': 1, 'future_plan': 1}",{'meta_reference': 1}
KOSPI,137,031210,서울보증보험,20260331,20260331803499,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),(고배당기업 해당) 2025년 서울보증보험 기업가치 제고 계획,,,,20250930,20250930800335,0.0,0.8402,meta_without_progress_compare_to_plan,{'future_plan': 1},{},{'future_plan': 2}
KOSPI,143,383220,F&F,20260326,20260326802801,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2025년 ㈜에프앤에프 기업가치 제고계획,20260430,20260430800997,2026년 (주)에프앤에프 기업가치제고계획 및 2025년 이행현황,20250429,20250429800587,0.5538,0.9641,meta_partially_overlaps_progress,{},{'implementation_status': 3},{}
KOSPI,157,139480,이마트,20260326,20260326802047,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),기업가치 제고 계획(자율공시) (2025년 이행현황),20260211,20260211800379,2025 (주)이마트 기업가치 제고계획 이행현황,20250211,20250211800361,1.0,0.4749,meta_duplicates_progress,"{'implementation_status': 1, 'meta_reference': 1}","{'implementation_status': 1, 'meta_reference': 1}",{'meta_reference': 1}
KOSPI,160,051600,한전KPS,20260420,20260420800423,[기재정정]기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2026년 한전KPS(주) 기업가치 제고 계획,,,,20260319,20260319800476,0.0,1.0,meta_without_progress_compare_to_plan,"{'implementation_status': 1, 'future_plan': 2}",{},"{'implementation_status': 1, 'future_plan': 2}"
KOSPI,178,192820,코스맥스,20260326,20260326803537,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2025년 코스맥스(주) 기업가치 제고 계획,,,,20251203,20251203800315,0.0,1.0,meta_without_progress_compare_to_plan,{},{},{}
KOSPI,186,002790,아모레퍼시픽홀딩스,20260326,20260326801690,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2025년 (주)아모레퍼시픽홀딩스 기업가치제고계획 이행현황,20251106,20251106800710,2025년 (주)아모레퍼시픽홀딩스 기업가치제고계획 이행현황,20241112,20241112800310,1.0,0.4076,meta_duplicates_progress,{'implementation_status': 2},{'implementation_status': 2},{}
KOSPI,193,001740,SK네트웍스,20260414,20260414800334,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2024년 SK네트웍스(주) 기업가치 제고 계획,,,,20241031,20241031800462,0.0,1.0,meta_without_progress_compare_to_plan,{'implementation_status': 3},{},{'implementation_status': 3}
KOSPI,194,003540,대신증권,20260330,20260330800002,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),2026년 대신증권 기업가치제고 계획 및 이행현황 재공시,20260212,20260212800812,2026년 대신증권 기업가치제고 계획 및 이행현황,20250313,20250313802190,0.9853,0.0919,meta_duplicates_progress,{'implementation_status': 1},{'implementation_status': 1},{'meta_reference': 2}
KOSPI,311,039130,하나투어,20260330,20260330801364,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),하나투어 기업가치 제고 계획 ('25년~'27년),,,,20250416,20250416800312,0.0,1.0,meta_without_progress_compare_to_plan,"{'future_plan': 2, 'implementation_status': 2}",{},"{'future_plan': 2, 'implementation_status': 2}"
