ticker,company,market,meeting_type
247540,에코프로비엠,KOSDAQ,annual
196170,알테오젠,KOSDAQ,annual
277810,레인보우로보틱스,KOSDAQ,annual
000250,삼천당제약,KOSDAQ,annual
058470,리노공업,KOSDAQ,annual
950160,코오롱티슈진,KOSDAQ,annual
028300,HLB,KOSDAQ,annual
298380,에이비엘바이오,KOSDAQ,annual
141080,리가켐바이오,KOSDAQ,annual
087010,펩트론,KOSDAQ,annual
036930,주성엔지니어링,KOSDAQ,annual
039030,이오테크닉스,KOSDAQ,annual
240810,원익IPS,KOSDAQ,annual
214370,케어젠,KOSDAQ,annual
310210,보로노이,KOSDAQ,annual
095340,ISC,KOSDAQ,annual
108490,로보티즈,KOSDAQ,annual
403870,HPSP,KOSDAQ,annual
440110,파두,KOSDAQ,annual
263750,펄어비스,KOSDAQ,annual
032820,우리기술,KOSDAQ,annual
214150,클래시스,KOSDAQ,annual
357780,솔브레인,KOSDAQ,annual
178320,서진시스템,KOSDAQ,annual
226950,올릭스,KOSDAQ,annual
319400,현대무벡스,KOSDAQ,annual
064760,티씨케이,KOSDAQ,annual
214450,파마리서치,KOSDAQ,annual
347850,디앤디파마텍,KOSDAQ,annual
222800,심텍,KOSDAQ,annual
237690,에스티팜,KOSDAQ,annual
145020,휴젤,KOSDAQ,annual
083650,비에이치아이,KOSDAQ,annual
084370,유진테크,KOSDAQ,annual
005290,동진쎄미켐,KOSDAQ,annual
043260,성호전자,KOSDAQ,annual
058610,에스피지,KOSDAQ,annual
100790,미래에셋벤처투자,KOSDAQ,annual
098460,고영,KOSDAQ,annual
257720,실리콘투,KOSDAQ,annual
031980,피에스케이홀딩스,KOSDAQ,annual
140410,메지온,KOSDAQ,annual
067310,하나마이크론,KOSDAQ,annual
082920,비츠로셀,KOSDAQ,annual
319660,피에스케이,KOSDAQ,annual
030530,원익홀딩스,KOSDAQ,annual
131970,두산테스나,KOSDAQ,annual
218410,RFHIC,KOSDAQ,annual
066430,아이로보틱스,KOSDAQ,extraordinary
459510,나우로보틱스,KOSDAQ,extraordinary
007720,소노스퀘어,KOSDAQ,extraordinary
067170,오텍,KOSDAQ,extraordinary
042040,케이피엠테크,KOSDAQ,extraordinary
052690,한전기술,KOSPI,extraordinary
299660,셀리드,KOSDAQ,extraordinary
304100,솔트룩스,KOSDAQ,extraordinary
192250,케이사인,KOSDAQ,extraordinary
318000,KBG,KOSDAQ,extraordinary
219750,한국비티비,KOSDAQ,extraordinary
200230,텔콘RF제약,KOSDAQ,extraordinary
011000,진원생명과학,KOSPI,extraordinary
058110,멕아이씨에스,KOSDAQ,extraordinary
215480,토박스코리아,KOSDAQ,extraordinary
032080,아즈텍WB,KOSDAQ,extraordinary
054180,메디콕스,KOSDAQ,extraordinary
366030,공구우먼,KOSDAQ,extraordinary
483650,달바글로벌,KOSPI,extraordinary
140070,서플러스글로벌,KOSDAQ,extraordinary
098660,에스티오,KOSDAQ,extraordinary
083450,GST,KOSDAQ,extraordinary
0030R0,대신밸류리츠,KOSPI,extraordinary
114840,아이패밀리에스씨,KOSDAQ,extraordinary
066790,씨씨에스,KOSDAQ,extraordinary
304840,피플바이오,KOSDAQ,extraordinary
230360,에코마케팅,KOSDAQ,extraordinary
091970,나노캠텍,KOSDAQ,extraordinary
015590,DKME,KOSPI,extraordinary
341170,퓨쳐메디신,OTHER,extraordinary
333620,엔시스,KOSDAQ,extraordinary
012160,영흥,KOSPI,extraordinary
368770,파이버프로,KOSDAQ,extraordinary
210120,캔버스엔,KOSDAQ,extraordinary
049080,기가레인,KOSDAQ,extraordinary
085670,뉴프렉스,KOSDAQ,extraordinary
064090,인크레더블버즈,KOSDAQ,extraordinary
900300,오가닉티코스메틱,KOSDAQ,extraordinary
192440,슈피겐코리아,KOSDAQ,extraordinary
011200,HMM,KOSPI,extraordinary
215100,로보로보,KOSDAQ,extraordinary
059210,메타바이오메드,KOSDAQ,extraordinary
900270,헝셩그룹,KOSDAQ,extraordinary
101670,하이드로리튬,KOSDAQ,extraordinary
038870,에코심플렉스,KOSDAQ,extraordinary
177900,쓰리에이로직스,KOSDAQ,extraordinary
002200,한국수출포장공업,KOSPI,extraordinary
294090,이오플로우,KOSDAQ,extraordinary
359090,씨엔알리서치,KOSDAQ,extraordinary
290660,다이나믹솔루션,KOSDAQ,extraordinary
